date,total num arrivals,total num departures,total num of people making complaints,"total number of all complaints (phone, email, web, letters)"
28th November 2016,653,653,62,309
27th November 2016,654,646,89,390
26th November 2016,572,590,61,289
25th November 2016,591,598,36,138
24th November 2016,617,600,53,152
23rd November 2016,622,623,65,282
22nd November 2016,615,619,49,188
21st November 2016,642,641,87,333
20th November 2016,657,646,62,259
19th November 2016,600,603,63,319
18th November 2016,652,654,35,198
17th November 2016,647,650,53,232
16th November 2016,638,641,49,244
15th November 2016,648,643,61,230
14th November 2016,655,660,54,241
13th November 2016,642,640,58,198
12th November 2016,588,584,80,270
11th November 2016,641,645,73,415
10th November 2016,638,642,46,202
9th November 2016,626,628,49,288
8th November 2016,637,630,72,215
7th November 2016,640,641,75,228
6th November 2016,643,635,69,229
5th November 2016,596,600,36,140
4th November 2016,647,646,54,265
3rd November 2016,641,646,41,187
2nd November 2016,637,635,64,237
1st November 2016,618,613,102,412
31st October 2016,626,627,121,681
30th October 2016,619,617,103,573
29th October 2016,641,643,84,316
28th October 2016,688,686,52,247
27th October 2016,671,675,52,157
26th October 2016,652,650,62,295
25th October 2016,669,667,112,466
24th October 2016,680,682,114,657
23rd October 2016,668,661,86,553
22nd October 2016,642,644,82,414
21st October 2016,686,693,60,317
20th October 2016,676,676,71,391
19th October 2016,667,665,75,297
18th October 2016,668,666,78,354
17th October 2016,676,680,85,379
16th October 2016,671,664,72,426
15th October 2016,637,636,86,440
14th October 2016,685,688,105,415
13th October 2016,677,678,93,347
12th October 2016,662,665,111,510
11th October 2016,671,663,147,538
10th October 2016,678,686,128,672
9th October 2016,671,663,125,313
8th October 2016,638,644,80,292
7th October 2016,677,681,80,364
6th October 2016,676,677,67,384
5th October 2016,680,676,64,228
4th October 2016,675,678,73,316
3rd October 2016,684,682,86,273
2nd October 2016,672,666,51,202
1st October 2016,649,656,44,224
30th September 2016,687,687,42,206
29th September 2016,681,685,27,109
28th September 2016,685,682,28,109
27th September 2016,686,682,39,114
26th September 2016,682,689,64,124
25th September 2016,687,676,58,172
24th September 2016,637,645,35,136
23rd September 2016,690,689,48,231
22nd September 2016,692,695,69,183
21st September 2016,686,683,85,311
20th September 2016,687,686,110,356
19th September 2016,684,688,71,212
18th September 2016,683,673,50,141
17th September 2016,638,643,39,174
16th September 2016,666,670,72,234
15th September 2016,668,673,135,434
14th September 2016,681,680,102,305
13th September 2016,685,682,117,536
12th September 2016,688,686,102,294
11th September 2016,678,672,55,268
10th September 2016,692,690,63,253
9th September 2016,692,690,63,253
8th September 2016,690,694,56,258
7th September 2016,689,684,82,341
6th September 2016,685,689,67,249
5th September 2016,687,691,73,303
4th September 2016,684,679,57,288
3rd September 2016,649,650,43,228
2nd September 2016,693,695,50,260
1st September 2016,691,695,54,272
31st August 2016,689,685,54,265
30th August 2016,691,691,73,252
29th August 2016,688,689,72,351
28th August 2016,680,673,78,304
27th August 2016,652,658,144,393
26th August 2016,690,689,98,333
25th August 2016,686,689,121,487
24th August 2016,683,680,66,378
23rd August 2016,687,690,126,401
22nd August 2016,681,678,60,187
21st August 2016,640,649,55,230
20th August 2016,690,685,46,370
19th August 2016,688,689,81,295
18th August 2016,685,683,175,341
17th August 2016,677,678,139,274
16th August 2016,677,678,115,257
15th August 2016,684,686,136,357
14th August 2016,687,677,96,410
13th August 2016,646,653,56,202
12th August 2016,681,681,63,223
11th August 2016,683,685,63,293
10th August 2016,684,682,67,337
9th August 2016,679,677,70,226
8th August 2016,681,682,77,317
7th August 2016,679,674,82,430
6th August 2016,651,658,67,313
5th August 2016,686,683,73,264
4th August 2016,685,687,68,195
3rd August 2016,684,683,75,226
2nd August 2016,669,671,301,225
1st August 2016,685,684,87,91
31st July 2016,648,657,85,339
30th July 2016,686,683,59,239
29th July 2016,684,685,57,209
28th July 2016,682,684,74,244
27th July 2016,682,679,65,217
26th July 2016,683,685,86,229
25th July 2016,677,674,77,225
24th July 2016,677,674,75,249
23rd July 2016,638,643,73,294
22nd July 2016,681,680,89,404
21st July 2016,684,686,110,437
20th July 2016,680,678,100,460
19th July 2016,681,681,164,464
18th July 2016,677,681,75,229
17th July 2016,672,668,80,314
16th July 2016,642,646,60,268
15th July 2016,690,687,56,257
14th July 2016,683,685,57,195
13th July 2016,682,682,59,256
12th July 2016,665,669,72,231
11th July 2016,668,661,62,283
10th July 2016,672,669,52,258
9th July 2016,649,650,65,266
8th July 2016,685,688,61,218
7th July 2016,684,687,61,264
6th July 2016,683,682,42,250
5th July 2016,664,663,40,127
4th July 2016,680,682,55,173
3rd July 2016,676,669,53,292
2nd July 2016,648,650,41,190
1st July 2016,686,684,38,240
30th June 2016,679,684,52,236
29th June 2016,682,682,42,164
28th June 2016,669,663,37,166
27th June 2016,677,678,62,349
26th June 2016,665,661,67,338
25th June 2016,614,628,91,460
24th June 2016,659,656,56,367
23rd June 2016,647,646,91,374
22nd June 2016,686,681,70,350
21st June 2016,686,685,63,327
20th June 2016,686,686,67,270
19th June 2016,682,678,59,331
18th June 2016,640,644,45,267
17th June 2016,669,670,107,343
16th June 2016,673,678,144,465
15th June 2016,675,668,57,287
14th June 2016,658,656,66,314
13th June 2016,665,676,100,430
12th June 2016,674,664,95,397
11th June 2016,628,636,72,257
10th June 2016,680,674,196,522
9th June 2016,670,682,246,539
8th June 2016,669,658,235,673
7th June 2016,669,673,168,511
6th June 2016,688,686,140,489
5th June 2016,682,676,199,569
4th June 2016,643,650,119,474
3rd June 2016,688,686,75,195
2nd June 2016,670,670,51,158
1st June 2016,674,673,44,150
31st May 2016,659,664,49,156
30th May 2016,685,683,125,475
29th May 2016,680,672,123,405
28th May 2016,641,647,141,384
27th May 2016,687,686,93,399
26th May 2016,671,677,94,382
25th May 2016,681,680,67,137
24th May 2016,681,681,94,280
23rd May 2016,672,673,96,337
22nd May 2016,677,669,75,343
21st May 2016,636,638,41,239
20th May 2016,682,680,50,281
19th May 2016,666,671,61,280
18th May 2016,682,681,61,201
17th May 2016,673,674,73,300
16th May 2016,679,676,72,326
15th May 2016,665,665,63,349
14th May 2016,631,636,80,257
13th May 2016,686,685,116,258
12th May 2016,683,683,147,427
11th May 2016,669,667,192,474
10th May 2016,679,676,135,541
9th May 2016,681,684,170,491
8th May 2016,673,665,169,542
7th May 2016,622,627,127,403
6th May 2016,675,672,81,307
5th May 2016,668,677,64,170
4th May 2016,673,671,45,246
3rd May 2016,678,677,61,323
2nd May 2016,674,674,64,296
1st May 2016,665,659,58,254
30th April 2016,639,644,50,257
29th April 2016,676,677,54,210
28th April 2016,658,662,48,375
27th April 2016,664,661,53,256
26th April 2016,670,669,67,305
25th April 2016,672,673,84,258
24th April 2016,664,653,59,282
23rd April 2013,625,631,72,182
22nd April 2016,679,676,51,285
21st April 2016,665,674,57,122
20th April 2016,663,658,51,148
19th April 2016,661,665,62,205
18th April 2016,675,672,46,238
17th April 2016,662,658,61,169
16th April 2016,628,635,48,297
15th April 2016,675,678,43,199
14th April 2016,673,669,40,317
13th April 2016,660,666,43,208
12th April 2016,671,666,53,225
11th April 2016,672,671,66,258
10th April 2016,666,661,67,230
9th April 2016,626,629,40,457
8th April 2016,680,683,47,281
7th April 2016,669,669,46,229
6th April 2016,665,663,44,195
5th April 2016,662,661,53,226
4th April 2016,669,670,58,282
3rd April 2016,653,650,102,324
2nd April 2016,623,626,67,183
1st April 2016,662,657,37,109
31st March 2016,641,646,69,275
30th March 2016,649,650,44,274
29th March 2016,652,652,38,189
28th March 2016,612,604,46,197
27th March 2016,633,631,42,183
26th March 2016,573,584,27,112
25th March 2016,634,635,43,124
24th March 2016,633,636,53,207
23rd March 2016,634,635,63,220
22nd March 2016,633,628,58,158
21st March 2016,630,632,51,261
20th March 2016,634,626,81,223
19th March 2016,590,603,62,198
18th March 2016,655,655,53,152
17th March 2016,652,654,76,181
16th March 2016,649,647,67,156
15th March 2016,643,640,59,175
14th March 2016,647,644,54,193
13th March 2016,643,635,55,235
12th March 2016,585,594,51,158
11th March 2016,634,634,67,200
10th March 2016,643,648,76,240
9th March 2016,639,641,70,197
8th March 2016,647,638,38,183
7th March 2016,641,640,57,417
6th March 2016,644,636,42,259
5th March 2016,590,602,47,286
4th March 2016,659,659,52,303
3rd March 2016,651,653,56,275
2nd March 2016,644,646,51,318
1st March 2016,651,647,42,225
29th February 2016,658,658,63,381
28th February 2016,652,643,70,244
27th February 2016,596,603,58,256
26th February 2016,661,662,64,215
25th February 2016,648,652,39,328
24th February 2016,646,649,47,251
23rd February 2016,649,642,54,207
22nd February 2016,659,660,54,259
21st February 2016,658,652,43,198
20th February 2016,592,600,45,235
19th February 2016,646,647,47,278
18th February 2016,628,633,37,195
17th February 2016,629,627,44,268
16th February 2016,628,621,45,187
15th February 2016,632,639,54,380
14th February 2016,638,624,89,287
